title,address,access,age,floor,fee,management_fee,deposit,gratuity,madori,menseki
都営大江戸線 西新宿五丁目駅 3階建 築26年,東京都新宿区西新宿４,"
都営大江戸線/西新宿五丁目駅 歩5分
京王新線/初台駅 歩11分
ＪＲ山手線/新宿駅 歩15分
","
築26年
3階建
","
											1-3階",48万円,-,48万円,24万円,7LDK,130.47m2
都営大江戸線 西新宿五丁目駅 3階建 築26年,東京都新宿区西新宿４,"
都営大江戸線/西新宿五丁目駅 歩5分
京王新線/初台駅 歩11分
ＪＲ山手線/新宿駅 歩15分
","
築26年
3階建
","
											1-3階",48万円,-,48万円,24万円,7LDK,130.47m2
ザ・パークハウス市谷加賀町,東京都新宿区市谷加賀町２,"
都営大江戸線/牛込柳町駅 歩4分
都営新宿線/曙橋駅 歩12分
東京メトロ東西線/神楽坂駅 歩14分
","
築9年
地下1地上5階建
","
											5階",35万円,25000円,35万円,35万円,3LDK,84.27m2
ザ・パークハウス市谷加賀町レジデンス,東京都新宿区市谷加賀町１,"
都営大江戸線/牛込柳町駅 歩6分
都営大江戸線/牛込神楽坂駅 歩8分
東京メトロ南北線/市ケ谷駅 歩11分
","
新築
地下1地上7階建
","
											1階",32万円,15000円,64万円,32万円,2LDK,60.37m2
ザ・パークハウス市谷加賀町レジデンス,東京都新宿区市谷加賀町１,"
都営大江戸線/牛込柳町駅 歩6分
都営大江戸線/牛込神楽坂駅 歩8分
東京メトロ南北線/市ケ谷駅 歩11分
","
新築
地下1地上7階建
","
											3階",34.5万円,-,34.5万円,34.5万円,2LDK,60.37m2
ザ・パークハウス市谷加賀町レジデンス,東京都新宿区市谷加賀町１,"
都営大江戸線/牛込柳町駅 歩6分
都営大江戸線/牛込神楽坂駅 歩8分
東京メトロ南北線/市ケ谷駅 歩11分
","
新築
地下1地上7階建
","
											5階",34万円,10000円,34万円,34万円,3LDK,71.75m2
ザ・パークハウス市谷加賀町レジデンス,東京都新宿区市谷加賀町１,"
都営大江戸線/牛込柳町駅 歩6分
都営大江戸線/牛込神楽坂駅 歩8分
東京メトロ南北線/市ケ谷駅 歩11分
","
新築
地下1地上7階建
","
											5階",34万円,10000円,34万円,34万円,3LDK,71.75m2
ザ・パークハウス市谷加賀町レジデンス,東京都新宿区市谷加賀町１,"
都営大江戸線/牛込柳町駅 歩6分
都営大江戸線/牛込神楽坂駅 歩8分
東京メトロ南北線/市ケ谷駅 歩11分
","
新築
地下1地上7階建
","
											4階",35万円,20000円,35万円,35万円,3LDK,73.41m2
ザ・パークハウス市谷加賀町レジデンス,東京都新宿区市谷加賀町１,"
都営大江戸線/牛込柳町駅 歩6分
都営大江戸線/牛込神楽坂駅 歩8分
東京メトロ南北線/市ケ谷駅 歩11分
","
新築
地下1地上7階建
","
											4階",37.5万円,-,37.5万円,-,3LDK,77.55m2
センテナリオ市谷二十騎町,東京都新宿区二十騎町,"
都営大江戸線/牛込柳町駅 歩5分
東京メトロ東西線/神楽坂駅 歩12分
東京メトロ南北線/市ケ谷駅 歩13分
","
築4年
5階建
","
											3階",10.5万円,8000円,10.5万円,-,1K,25.72m2
センテナリオ市谷二十騎町,東京都新宿区二十騎町,"
都営大江戸線/牛込柳町駅 歩5分
東京メトロ東西線/神楽坂駅 歩12分
東京メトロ南北線/市ケ谷駅 歩13分
","
築4年
5階建
","
											3階",11.2万円,8000円,11.2万円,11.2万円,1K,25.72m2
センテナリオ市谷二十騎町,東京都新宿区二十騎町,"
都営大江戸線/牛込柳町駅 歩5分
東京メトロ東西線/神楽坂駅 歩12分
東京メトロ南北線/市ケ谷駅 歩13分
","
築4年
5階建
","
											5階",24万円,15000円,24万円,-,2LDK,51.81m2
センテナリオ市谷二十騎町,東京都新宿区二十騎町,"
都営大江戸線/牛込柳町駅 歩5分
東京メトロ東西線/神楽坂駅 歩12分
東京メトロ南北線/市ケ谷駅 歩13分
","
築4年
5階建
","
											5階",24.5万円,15000円,24.5万円,-,2LDK,51.81m2
センテナリオ市谷二十騎町,東京都新宿区二十騎町,"
都営大江戸線/牛込柳町駅 歩5分
東京メトロ東西線/神楽坂駅 歩12分
東京メトロ南北線/市ケ谷駅 歩13分
","
築4年
5階建
","
											5階",26.4万円,15000円,26.4万円,-,2LDK,56.63m2
センテナリオ市谷二十騎町,東京都新宿区二十騎町,"
都営大江戸線/牛込柳町駅 歩5分
東京メトロ東西線/神楽坂駅 歩12分
東京メトロ南北線/市ケ谷駅 歩13分
","
築4年
5階建
","
											5階",27万円,15000円,27万円,27万円,2LDK,56.63m2
東京メトロ南北線 飯田橋駅 13階建 築4年,東京都新宿区新小川町,"
東京メトロ南北線/飯田橋駅 歩4分
東京メトロ丸ノ内線/後楽園駅 歩10分
東京メトロ東西線/神楽坂駅 歩11分
","
築4年
13階建
","
											2階",12.3万円,10000円,12.3万円,-,1K,25.88m2
東京メトロ南北線 飯田橋駅 13階建 築4年,東京都新宿区新小川町,"
東京メトロ南北線/飯田橋駅 歩4分
東京メトロ丸ノ内線/後楽園駅 歩10分
東京メトロ東西線/神楽坂駅 歩11分
","
築4年
13階建
","
											5階",12.3万円,10000円,12.3万円,-,1K,25.88m2
